,year,score,round,minutes,p1name,p1age,p1ace,p1rank,p1_win_pct,p1_win_pct_hsf,p2name,p2age,p2ace,p2rank,p2_win_pct,p2_win_pct_hsf,p1won,p2won
0,2014,6-4 7-6(5) 6-7(9) 6-2,R128,228.0,Carlos Berlocq,30.9431895962,9.0,41.0,0.1111111111111111,0.47,Edouard Roger Vasselin,30.1273100616,6.0,40.0,0.55,0.56,0,1
1,2016,7-5 6-3 6-2,R32,104.0,Stephane Robert,35.6714579055,3.0,225.0,0.25,0.47,Gael Monfils,29.3798767967,10.0,25.0,0.6428571428571429,0.7108433734939759,0,1
2,2018,6-3 6-2 6-1,R128,98.0,Dennis Novak,24.3832991102,3.0,226.0,0.3947368421052632,0.3181818181818182,Grigor Dimitrov,26.6694045175,7.0,3.0,0.5504587155963303,0.5714285714285714,0,1
3,2013,6-4 6-2 6-4,R128,106.0,Grigor Dimitrov,21.6673511294,5.0,41.0,0.5504587155963303,0.5714285714285714,Julien Benneteau,31.069130732399998,6.0,38.0,0.42105263157894735,0.4545454545454545,0,1
4,2015,6-3 7-6(6) 6-1,R32,118.0,Malek Jaziri,30.9979466119,6.0,75.0,0.4057971014492754,0.3888888888888889,Nick Kyrgios,19.7316906229,27.0,53.0,0.6428571428571429,0.671875,0,1
5,2019,7-5 6-7(9) 6-4 6-4,R64,217.0,Mackenzie McDonald,23.748117727600004,9.0,81.0,0.4074074074074074,0.38461538461538464,Marin Cilic,30.2943189596,25.0,7.0,0.6153846153846154,0.5862068965517241,0,1
6,2014,7-5 7-5 7-6(2),R128,162.0,Di Wu,22.3326488706,3.0,203.0,0.2,0.2,Kenny De Schepper,26.6283367556,19.0,86.0,0.55,0.56,0,1
7,2017,6-2 3-6 5-7 6-3 6-2,R128,174.0,Robin Haase,29.782340862399998,13.0,57.0,0.4395604395604396,0.4736842105263158,Alexander Zverev,19.742642026,17.0,24.0,0.7039106145251397,0.7024793388429752,0,1
8,2012,6-4 6-2 6-1,R128,101.0,Matteo Viola,24.5284052019,2.0,153.0,0.46,0.47,Santiago Giraldo,24.1368925394,0.0,56.0,0.3,0.56,0,1
9,2017,6-3 6-4 3-6 7-6(7),R128,177.0,Borna Coric,20.1724845996,13.0,59.0,0.6102941176470589,0.5977011494252874,Alexandr Dolgopolov,28.191649555100003,14.0,69.0,0.5,0.625,0,1
10,2011,5-7 6-2 3-6 6-1 8-6,R128,200.0,Sam Querrey,23.279945243,19.0,18.0,0.5368421052631579,0.4925373134328358,Lukasz Kubot,28.6735112936,7.0,72.0,0.55,0.56,0,1
11,2012,6-0 6-1 6-1,R32,74.0,Nicolas Mahut,29.9849418207,0.0,81.0,0.42857142857142855,0.3333333333333333,Novak Djokovic,24.654346338099998,7.0,1.0,0.8430232558139535,0.8421052631578947,0,1
12,2010,6-2 7-5 7-5,R128,124.0,Daniel Brands,22.507871321,10.0,91.0,0.3333333333333333,0.5,Evgeny Korolev,21.9274469541,2.0,53.0,0.55,0.56,0,1
13,2013,6-2 7-6(4) 7-5,R128,127.0,Sergiy Stakhovsky,27.022587269000002,6.0,102.0,0.3333333333333333,0.3636363636363637,Ricardas Berankis,22.5681040383,6.0,110.0,0.4107142857142857,0.42857142857142855,0,1
14,2014,3-6 7-6(3) 7-6(7) 6-2,QF,217.0,Grigor Dimitrov,22.6639288159,18.0,22.0,0.5504587155963303,0.5714285714285714,Rafael Nadal,27.613963039,3.0,1.0,0.8714285714285714,0.8513513513513513,0,1
15,2015,6-3 6-3 6-2,R128,101.0,John Millman,25.5989048597,0.0,151.0,0.4957264957264957,0.5316455696202531,Leonardo Mayer,27.6824093087,10.0,26.0,0.42696629213483145,0.4166666666666667,0,1
16,2015,3-6 6-3 7-5 3-6 6-1,R64,173.0,Thanasi Kokkinakis,18.7761806982,14.0,147.0,0.4,0.42857142857142855,Sam Groth,27.252566735100004,26.0,82.0,0.55,0.56,0,1
