,player,wins,losses,matches,win_pct
0,Daniil Medvedev,110,35.0,145.0,0.7586206896551724
1,Novak Djokovic,96,18.0,114.0,0.8421052631578947
2,Alexander Zverev,85,36.0,121.0,0.7024793388429752
3,Stefanos Tsitsipas,83,46.0,129.0,0.6434108527131783
4,Andrey Rublev,81,42.0,123.0,0.6585365853658537
5,Roger Federer,72,16.0,88.0,0.8181818181818182
6,Denis Shapovalov,71,49.0,120.0,0.5916666666666667
7,Alex De Minaur,68,34.0,102.0,0.6666666666666666
8,Karen Khachanov,67,46.0,113.0,0.5929203539823009
9,Dominic Thiem,66,26.0,92.0,0.717391304347826
10,Rafael Nadal,63,11.0,74.0,0.8513513513513513
11,Roberto Bautista Agut,62,31.0,93.0,0.6666666666666666
12,Gael Monfils,59,24.0,83.0,0.7108433734939759
13,Pablo Carreno Busta,56,31.0,87.0,0.6436781609195402
14,John Isner,54,41.0,95.0,0.5684210526315789
15,Milos Raonic,53,30.0,83.0,0.6385542168674698
16,Borna Coric,52,35.0,87.0,0.5977011494252874
17,Kevin Anderson,51,22.0,73.0,0.6986301369863014
18,Marin Cilic,51,36.0,87.0,0.5862068965517241
19,Stan Wawrinka,50,29.0,79.0,0.6329113924050633
20,Filip Krajinovic,50,39.0,89.0,0.5617977528089888
21,Adrian Mannarino,49,52.0,101.0,0.48514851485148514
22,David Goffin,48,35.0,83.0,0.5783132530120482
23,Diego Schwartzman,45,40.0,85.0,0.5294117647058824
24,Jan Lennard Struff,45,45.0,90.0,0.5
25,Gilles Simon,44,40.0,84.0,0.5238095238095238
26,Grigor Dimitrov,44,33.0,77.0,0.5714285714285714
27,Nick Kyrgios,43,21.0,64.0,0.671875
28,Benoit Paire,43,48.0,91.0,0.4725274725274725
29,Taylor Fritz,43,43.0,86.0,0.5
30,Kyle Edmund,42,33.0,75.0,0.56
31,Frances Tiafoe,42,42.0,84.0,0.5
32,John Millman,42,37.0,79.0,0.5316455696202531
33,Kei Nishikori,42,22.0,64.0,0.65625
34,Fabio Fognini,41,30.0,71.0,0.5774647887323944
35,Yoshihito Nishioka,39,30.0,69.0,0.5652173913043478
36,Juan Martin del Potro,38,10.0,48.0,0.7916666666666666
37,Felix Auger Aliassime,38,34.0,72.0,0.5277777777777778
38,Reilly Opelka,37,23.0,60.0,0.6166666666666667
39,Fernando Verdasco,37,33.0,70.0,0.5285714285714286
40,Pierre Hugues Herbert,36,39.0,75.0,0.48
41,Richard Gasquet,36,30.0,66.0,0.5454545454545454
42,Marton Fucsovics,36,37.0,73.0,0.4931506849315068
43,Nikoloz Basilashvili,36,38.0,74.0,0.4864864864864865
44,Radu Albot,35,41.0,76.0,0.4605263157894737
45,Andreas Seppi,35,29.0,64.0,0.546875
46,Hubert Hurkacz,34,34.0,68.0,0.5
47,Mikhail Kukushkin,34,38.0,72.0,0.4722222222222222
48,Cameron Norrie,34,36.0,70.0,0.4857142857142857
49,Sam Querrey,33,34.0,67.0,0.4925373134328358
50,Hyeon Chung,33,24.0,57.0,0.5789473684210527
51,Daniel Evans,32,26.0,58.0,0.5517241379310345
52,Jeremy Chardy,31,33.0,64.0,0.484375
53,Lucas Pouille,31,25.0,56.0,0.5535714285714286
54,Matteo Berrettini,30,32.0,62.0,0.4838709677419355
55,Joao Sousa,29,37.0,66.0,0.4393939393939394
56,Jo-Wilfried Tsonga,28,19.0,47.0,0.5957446808510638
57,Vasek Pospisil,28,24.0,52.0,0.5384615384615384
58,Miomir Kecmanovic,27,25.0,52.0,0.5192307692307693
59,Robin Haase,27,30.0,57.0,0.47368421052631576
60,Jordan Thompson,26,30.0,56.0,0.4642857142857143
61,Peter Gojowczyk,26,34.0,60.0,0.43333333333333335
62,Damir Dzumhur,25,43.0,68.0,0.36764705882352944
63,Steve Johnson,25,34.0,59.0,0.423728813559322
64,Philipp Kohlschreiber,25,26.0,51.0,0.49019607843137253
65,Egor Gerasimov,25,17.0,42.0,0.5952380952380952
66,Ugo Humbert,25,25.0,50.0,0.5
67,Feliciano Lopez,24,29.0,53.0,0.4528301886792453
68,Dusan Lajovic,24,33.0,57.0,0.42105263157894735
69,Tennys Sandgren,24,32.0,56.0,0.42857142857142855
70,Tomas Berdych,23,13.0,36.0,0.6388888888888888
71,Marius Copil,22,27.0,49.0,0.4489795918367347
72,Ricardas Berankis,21,28.0,49.0,0.42857142857142855
73,Guido Pella,21,26.0,47.0,0.44680851063829785
74,Alexander Bublik,21,26.0,47.0,0.44680851063829785
75,Andy Murray,20,13.0,33.0,0.6060606060606061
76,Ryan Harrison,20,19.0,39.0,0.5128205128205128
77,Aljaz Bedene,19,24.0,43.0,0.4418604651162791
78,Lloyd Harris,18,22.0,40.0,0.45
79,Ilya Ivashka,16,22.0,38.0,0.42105263157894735
80,Albert Ramos,16,28.0,44.0,0.36363636363636365
81,Jannik Sinner,16,12.0,28.0,0.5714285714285714
82,Tommy Paul,16,14.0,30.0,0.5333333333333333
83,Taro Daniel,15,23.0,38.0,0.39473684210526316
84,Matthew Ebden,15,25.0,40.0,0.375
85,Mackenzie McDonald,15,24.0,39.0,0.38461538461538464
86,Leonardo Mayer,15,21.0,36.0,0.4166666666666667
87,Evgeny Donskoy,14,26.0,40.0,0.35
88,Malek Jaziri,14,22.0,36.0,0.3888888888888889
89,Marcos Baghdatis,14,12.0,26.0,0.5384615384615384
90,Ivo Karlovic,14,22.0,36.0,0.3888888888888889
91,Soon Woo Kwon,13,13.0,26.0,0.5
92,Christian Garin,13,20.0,33.0,0.3939393939393939
93,Alexei Popyrin,13,22.0,35.0,0.37142857142857144
94,Jiri Vesely,13,16.0,29.0,0.4482758620689655
95,Ernests Gulbis,12,14.0,26.0,0.46153846153846156
96,Pablo Cuevas,11,19.0,30.0,0.36666666666666664
97,Jared Donaldson,11,12.0,23.0,0.4782608695652174
98,Alejandro Davidovich Fokina,11,6.0,17.0,0.6470588235294118
99,Mikael Ymer,11,11.0,22.0,0.5
100,Denis Kudla,11,22.0,33.0,0.3333333333333333
101,Lorenzo Sonego,11,18.0,29.0,0.3793103448275862
102,Martin Klizan,10,15.0,25.0,0.4
103,Maximilian Marterer,10,16.0,26.0,0.38461538461538464
104,David Ferrer,10,13.0,23.0,0.43478260869565216
