,player,wins,losses,matches,win_pct
0,Novak Djokovic,145,27.0,172.0,0.8430232558139535
1,Daniil Medvedev,128,53.0,181.0,0.7071823204419889
2,Alexander Zverev,126,53.0,179.0,0.7039106145251397
3,Dominic Thiem,122,45.0,167.0,0.7305389221556886
4,Rafael Nadal,122,18.0,140.0,0.8714285714285714
5,Stefanos Tsitsipas,121,65.0,186.0,0.6505376344086021
6,Roger Federer,104,21.0,125.0,0.832
7,Andrey Rublev,95,50.0,145.0,0.6551724137931034
8,Diego Schwartzman,93,65.0,158.0,0.5886075949367089
9,Roberto Bautista Agut,93,49.0,142.0,0.6549295774647887
10,Karen Khachanov,90,64.0,154.0,0.5844155844155844
11,Denis Shapovalov,89,69.0,158.0,0.5632911392405063
12,Borna Coric,83,53.0,136.0,0.6102941176470589
13,Fabio Fognini,81,54.0,135.0,0.6
14,Gael Monfils,81,45.0,126.0,0.6428571428571429
15,Marin Cilic,80,50.0,130.0,0.6153846153846154
16,Pablo Carreno Busta,77,54.0,131.0,0.5877862595419847
17,David Goffin,76,52.0,128.0,0.59375
18,Milos Raonic,75,36.0,111.0,0.6756756756756757
19,Alex De Minaur,74,49.0,123.0,0.6016260162601627
20,Kei Nishikori,73,38.0,111.0,0.6576576576576577
21,John Isner,72,48.0,120.0,0.6
22,Jan Lennard Struff,72,68.0,140.0,0.5142857142857142
23,Gilles Simon,71,61.0,132.0,0.5378787878787878
24,Benoit Paire,70,69.0,139.0,0.5035971223021583
25,Matteo Berrettini,69,49.0,118.0,0.5847457627118644
26,Guido Pella,67,56.0,123.0,0.5447154471544715
27,Adrian Mannarino,67,72.0,139.0,0.48201438848920863
28,Kevin Anderson,66,32.0,98.0,0.673469387755102
29,Fernando Verdasco,65,62.0,127.0,0.5118110236220472
30,Taylor Fritz,64,62.0,126.0,0.5079365079365079
31,Stan Wawrinka,63,43.0,106.0,0.5943396226415094
32,Kyle Edmund,63,52.0,115.0,0.5478260869565217
33,Richard Gasquet,62,48.0,110.0,0.5636363636363636
34,Felix Auger Aliassime,62,51.0,113.0,0.5486725663716814
35,Filip Krajinovic,61,46.0,107.0,0.5700934579439252
36,Nikoloz Basilashvili,60,63.0,123.0,0.4878048780487805
37,Grigor Dimitrov,60,49.0,109.0,0.5504587155963303
38,Albert Ramos,59,64.0,123.0,0.4796747967479675
39,John Millman,58,59.0,117.0,0.49572649572649574
40,Dusan Lajovic,58,65.0,123.0,0.4715447154471545
41,Frances Tiafoe,57,60.0,117.0,0.48717948717948717
42,Marton Fucsovics,57,59.0,116.0,0.49137931034482757
43,Pierre Hugues Herbert,55,54.0,109.0,0.5045871559633027
44,Juan Martin del Potro,55,17.0,72.0,0.7638888888888888
45,Jeremy Chardy,54,54.0,108.0,0.5
46,Nick Kyrgios,54,30.0,84.0,0.6428571428571429
47,Joao Sousa,53,64.0,117.0,0.452991452991453
48,Sam Querrey,51,44.0,95.0,0.5368421052631579
49,Andreas Seppi,50,53.0,103.0,0.4854368932038835
50,Radu Albot,49,60.0,109.0,0.44954128440366975
51,Mikhail Kukushkin,48,57.0,105.0,0.45714285714285713
52,Pablo Cuevas,48,50.0,98.0,0.4897959183673469
53,Christian Garin,48,38.0,86.0,0.5581395348837209
54,Cameron Norrie,48,54.0,102.0,0.47058823529411764
55,Steve Johnson,47,52.0,99.0,0.47474747474747475
56,Philipp Kohlschreiber,47,52.0,99.0,0.47474747474747475
57,Casper Ruud,46,38.0,84.0,0.5476190476190477
58,Hubert Hurkacz,46,47.0,93.0,0.4946236559139785
59,Nicolas Jarry,46,46.0,92.0,0.5
60,Lucas Pouille,46,42.0,88.0,0.5227272727272727
61,Laslo Djere,45,47.0,92.0,0.4891304347826087
62,Aljaz Bedene,44,46.0,90.0,0.4888888888888889
63,Yoshihito Nishioka,42,42.0,84.0,0.5
64,Reilly Opelka,41,31.0,72.0,0.5694444444444444
65,Marco Cecchinato,41,60.0,101.0,0.40594059405940597
66,Feliciano Lopez,40,44.0,84.0,0.47619047619047616
67,Robin Haase,40,51.0,91.0,0.43956043956043955
68,Damir Dzumhur,39,60.0,99.0,0.3939393939393939
69,Miomir Kecmanovic,39,33.0,72.0,0.5416666666666666
70,Jordan Thompson,38,44.0,82.0,0.4634146341463415
71,Leonardo Mayer,38,51.0,89.0,0.42696629213483145
72,Jo-Wilfried Tsonga,38,28.0,66.0,0.5757575757575758
73,Roberto Carballes Baena,37,44.0,81.0,0.4567901234567901
74,Daniel Evans,36,34.0,70.0,0.5142857142857142
75,Tennys Sandgren,36,49.0,85.0,0.4235294117647059
76,Ugo Humbert,36,35.0,71.0,0.5070422535211268
77,Hyeon Chung,35,26.0,61.0,0.5737704918032787
78,Jiri Vesely,35,33.0,68.0,0.5147058823529411
79,Lorenzo Sonego,34,42.0,76.0,0.4473684210526316
80,Federico Delbonis,34,49.0,83.0,0.40963855421686746
81,Peter Gojowczyk,34,49.0,83.0,0.40963855421686746
82,Taro Daniel,31,40.0,71.0,0.43661971830985913
83,Jaume Munar,30,43.0,73.0,0.410958904109589
84,Vasek Pospisil,30,30.0,60.0,0.5
85,Juan Ignacio Londero,30,31.0,61.0,0.4918032786885246
86,Martin Klizan,30,30.0,60.0,0.5
87,Alexander Bublik,29,34.0,63.0,0.4603174603174603
88,Malek Jaziri,28,41.0,69.0,0.4057971014492754
89,Marius Copil,26,40.0,66.0,0.3939393939393939
90,Ryan Harrison,25,29.0,54.0,0.46296296296296297
91,Egor Gerasimov,25,18.0,43.0,0.5813953488372093
92,Maximilian Marterer,25,33.0,58.0,0.43103448275862066
93,Matthew Ebden,24,38.0,62.0,0.3870967741935484
94,Tomas Berdych,24,20.0,44.0,0.5454545454545454
95,Pablo Andujar,24,35.0,59.0,0.4067796610169492
96,Mischa Zverev,23,43.0,66.0,0.3484848484848485
97,Ricardas Berankis,23,33.0,56.0,0.4107142857142857
98,Ivo Karlovic,23,35.0,58.0,0.39655172413793105
99,Mackenzie McDonald,22,32.0,54.0,0.4074074074074074
100,Guillermo Garcia Lopez,22,33.0,55.0,0.4
101,Denis Kudla,22,37.0,59.0,0.3728813559322034
102,Jannik Sinner,22,19.0,41.0,0.5365853658536586
103,Andy Murray,21,15.0,36.0,0.5833333333333334
104,Lloyd Harris,19,26.0,45.0,0.4222222222222222
105,Thiago Monteiro,19,31.0,50.0,0.38
106,Denis Istomin,18,34.0,52.0,0.34615384615384615
107,Evgeny Donskoy,18,32.0,50.0,0.36
108,Corentin Moutet,18,29.0,47.0,0.3829787234042553
109,Tommy Paul,18,18.0,36.0,0.5
110,Thomas Fabbiano,18,31.0,49.0,0.3673469387755102
111,Ilya Ivashka,18,29.0,47.0,0.3829787234042553
112,David Ferrer,17,24.0,41.0,0.4146341463414634
113,Ernests Gulbis,17,25.0,42.0,0.40476190476190477
114,Bernard Tomic,16,23.0,39.0,0.41025641025641024
115,Marcos Baghdatis,16,19.0,35.0,0.45714285714285713
116,Dennis Novak,15,23.0,38.0,0.39473684210526316
117,Jared Donaldson,15,21.0,36.0,0.4166666666666667
118,Henri Laaksonen,15,20.0,35.0,0.42857142857142855
